comm,dso,symbol,cycles,instructions,branches,branch_misses
"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection",918568148449,1342007525835,214921543599,2458108336
"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway",737047916821,1180509744631,197443613089,2635899121
"g4run","libG4processes.so","G4GammaNuclearXS::GetIsoCrossSection",716211502127,1011027168861,162445595837,2274157871
"g4run","g4run","CMSMagneticField::GetFieldValue",658702825895,1151098362206,165408134798,1532983384
"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength",646199467676,947276475448,149667918873,2063178946
"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda",580818560919,785510280725,123991819958,1953167081
"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection",570869060883,764942673171,124377669092,1568866429
"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate",502244917414,668614420426,104884770749,1822118873
"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength",499489049910,703332339406,112113039788,1596294586
"g4run","libm-2.28.so","sincosf32x",448625652040,737200239425,108692036706,1143829732
"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta",437749108265,705972414498,87758090696,868007318
"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP",417729575671,629947221022,95945484569,1247644199
"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway",409670297209,669677050547,98293276638,1363169609
"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection",396159429554,592308892480,94335212747,965938444
"g4run","libG4geometry.so","G4Mag_UsualEqRhs::EvaluateRhsGivenB",394966910137,656547539988,98421642672,925819531
"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide",388172839975,630631247494,106570989305,1370144380
"g4run","libG4digits_hits.so","G4TouchableHistory::GetVolume",387531476680,607292150859,90616240160,1061852833
"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection",378398424995,565293897699,84693581358,633071108
"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength",362061701131,571123471156,90506201422,957685588
"g4run","libG4geometry.so","G4Navigator::ComputeStep",358009156287,560367203152,86392797883,1038624101
"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate",355190540829,536272513421,78029275375,1012463438
"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError",348180188321,589150986229,87164608664,823959908
"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges",344251760932,528298732003,88496933260,1251807150
"g4run","libG4processes.so","G4NeutronElasticXS::GetElementCrossSection",323751501139,587780411912,85156280196,463927610
"g4run","libG4geometry.so","G4PolyconeSide::Distance",319348795308,537942392872,78325161329,950644216
"g4run","libG4processes.so","G4UniversalFluctuation::SampleGlandz",317858643095,439375067136,56079330391,986895404
"g4run","libG4tracking.so","G4SteppingManager::Stepping",316917743110,476532003776,73594214432,978651069
"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection",312320365186,460882295989,72771691891,843084766
"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep",288795299799,437253681409,71156410221,783293075
"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs",284327182821,443035447134,69094847934,780793447
"g4run","libG4geometry.so","G4PolyhedraSide::Distance",276998352602,448105654113,74073625019,844759746
"g4run","libG4processes.so","G4UrbanMscModel::ComputeTruePathLengthLimit",268358980724,377839050045,63227569713,715120728
"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup",261387051234,405502487521,57845947499,859744671
"g4run","libG4geometry.so","G4VCSGfaceted::Inside",256985691769,406200112262,65933198029,869103067
"g4run","libG4geometry.so","G4NavigationLevel::operator=",241048428946,361482637783,52776158324,773604916
"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume",231684848126,358497876746,52768159180,603043054
"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi",226334280000,356162844578,59848022626,833456184
"g4run","libG4geometry.so","G4VoxelNavigation::ComputeStep",213992762715,303381174939,44667003035,698094458
"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment",213532865977,343343450068,57695742756,783846741
"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength",208074761843,287186401721,48181060327,623463383
"g4run","libG4geometry.so","G4PolyhedraSide::Inside",204245919423,332911515686,56407138351,731076200
"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength",202739863898,284195455254,47569558075,578581797
"g4run","libG4geometry.so","G4PolyhedraSide::Intersect",201243888011,320990096678,56282357819,967950305
"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep",198096551400,304092825069,48092478919,566987261
"g4run","libG4geometry.so","G4PolyconeSide::PointOnCone",197619506326,328774128807,49292027573,901079705
"g4run","libG4processes.so","G4KleinNishinaCompton::SampleSecondaries",191141855304,313960880157,46698284192,594369079
"g4run","libG4processes.so","G4VEnergyLossProcess::ComputeLambdaForScaledEnergy",190436834857,258503971391,43287990516,524304376
"g4run","libG4processes.so","G4UrbanMscModel::ComputeGeomPathLength",189607923379,295309865125,48039250274,537562947
"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone1",188299970336,310909883765,46382082183,848170399
"g4run","libG4processes.so","G4Transportation::AlongStepDoIt",183927962308,286621363591,44896527580,527362536
"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection",181858122531,237536667551,38615708676,686780632
"g4run","libG4processes.so","G4VProcess::ResetNumberOfInteractionLengthLeft",178210325467,289433063628,42625982102,296106245
"g4run","libG4processes.so","G4VDiscreteProcess::PostStepGetPhysicalInteractionLength",176280913557,255671084896,39869504322,621482529
"g4run","libm-2.28.so","0x000000000007c030",172049229975,283008864605,47696393228,617518323
"g4run","libG4geometry.so","G4PolyconeSide::Inside",155761997953,229864720766,34161163551,535544680
"g4run","libG4processes.so","G4Transportation::PostStepDoIt",152631562935,225949804089,34989004134,508424621
"g4run","libG4geometry.so","G4Region::GetRegionalSteppingAction",146174630004,211522350395,32369524148,468534504
"g4run","libG4physicslists.so","G4Log",142593518176,200799883837,33205392150,424755557
"g4run","libG4processes.so","G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom",140226268979,227393077872,32522252527,332129598
"g4run","libG4processes.so","G4PhysicsVector::LogVectorValue",137798103467,210344934589,30322282613,327158580
"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep",136107033300,233984309736,29269088270,284461403
"g4run","libG4particles.so","G4IonTable::FindIon",133599802903,221740319422,33781248008,301456104
"g4run","libG4geometry.so","G4NavigationLevel::G4NavigationLevel",126350674111,186207402713,29336409059,456290108
"g4run","libG4geometry.so","G4PolyconeSide::Intersect",124260808198,202130740874,30196848837,581281676
"g4run","libG4geometry.so","G4LogicalVolume::GetSolid",122589058944,183365895048,27563499398,368029068
"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boost",121829669742,177900277259,29702007105,312587840
"g4run","libG4geometry.so","G4EnclosingCylinder::MustBeOutside",119296867279,181297694437,30565915986,462526784
"g4run","libG4processes.so","G4ProcessManager::GetAttribute",118956263505,194283150329,26683432073,242049775
"g4run","libG4processes.so","G4GEMProbability::CalcProbability",116665657155,193590852648,28288392830,71674911
"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs",114813587161,167657579419,25509627173,383635425
"g4run","libG4geometry.so","G4VoxelNavigation::LocateNextVoxel",114196278353,147403257420,20715277183,426478840
"g4run","libG4geometry.so","G4Box::Inside",112321348499,186883365257,29858327108,365671120
"g4run","libG4geometry.so","G4VPhysicalVolume::GetObjectTranslation",111436206045,156377986005,24462035933,349364612
"g4run","libG4processes.so","G4VMscModel::GetEnergy",110446270649,159656649048,24821157347,353647239
"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway",109586683762,153652801988,23152225243,427007068
"g4run","libG4geometry.so","G4LineSection::Dist",105783872063,162403638092,26437026055,305289062
"g4run","libG4geometry.so","G4PolyPhiFace::Inside",105168347436,168052045215,28611786628,364795059
"g4run","libG4clhep.so","CLHEP::MixMaxRng::generate",101495635811,148600773819,22464987008,300033149
"g4run","libG4processes.so","G4Transportation::SetTouchableInformation",99919273968,155806316414,23383278170,279753151
"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt",99909925165,152904862701,23510917468,359604762
"g4run","libG4clhep.so","CLHEP::(anonymous namespace)::theDefaults",99063171434,152111542818,23261314651,270787983
"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepDoIt",98101742217,144416635570,19835935158,247476510
"g4run","libG4geometry.so","G4LogicalVolume::GetSolid",97522329762,138502747005,20836937192,297806524
"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord",96933855516,148771588711,23892857147,266827727
"g4run","libG4processes.so","G4InuclSpecialFunctions::G4cbrt",94890768249,127899346408,23004285008,265197482
